Name,Description,ID,Color
Aspen,,13,"70,196,189,151"
Boreal Mixedwood,,60,"255,255,211,127"
Boreal Mixedwood - Green,,50,"255,255,170,0"
Boreal Mixedwood - Green (05% Conifer),,505,"255,255,170,0"
Boreal Mixedwood - Green (10% Conifer),,510,"255,255,170,0"
Boreal Mixedwood - Green (15% Conifer),,515,"255,255,170,0"
Boreal Mixedwood - Green (20% Conifer),,520,"255,255,170,0"
Boreal Mixedwood - Green (25% Conifer),,525,"255,255,170,0"
Boreal Mixedwood - Green (30% Conifer),,530,"255,255,170,0"
Boreal Mixedwood - Green (35% Conifer),,535,"255,255,170,0"
Boreal Mixedwood - Green (40% Conifer),,540,"255,255,170,0"
Boreal Mixedwood - Green (45% Conifer),,545,"255,255,170,0"
Boreal Mixedwood - Green (50% Conifer),,550,"255,255,170,0"
Boreal Mixedwood - Green (55% Conifer),,555,"255,255,170,0"
Boreal Mixedwood - Green (60% Conifer),,560,"255,255,170,0"
Boreal Mixedwood - Green (65% Conifer),,565,"255,255,170,0"
Boreal Mixedwood - Green (70% Conifer),,570,"255,255,170,0"
Boreal Mixedwood - Green (75% Conifer),,575,"255,255,170,0"
Boreal Mixedwood - Green (80% Conifer),,580,"255,255,170,0"
Boreal Mixedwood - Green (85% Conifer),,585,"255,255,170,0"
Boreal Mixedwood - Green (90% Conifer),,590,"255,255,170,0"
Boreal Mixedwood - Green (95% Conifer),,595,"255,255,170,0"
Boreal Mixedwood - Leafless,,40,"255,255,211,127"
Boreal Mixedwood - Leafless (05% Conifer),,405,"255,255,211,127"
Boreal Mixedwood - Leafless (10% Conifer),,410,"255,255,211,127"
Boreal Mixedwood - Leafless (15% Conifer),,415,"255,255,211,127"
Boreal Mixedwood - Leafless (20% Conifer),,420,"255,255,211,127"
Boreal Mixedwood - Leafless (25% Conifer),,425,"255,255,211,127"
Boreal Mixedwood - Leafless (30% Conifer),,430,"255,255,211,127"
Boreal Mixedwood - Leafless (35% Conifer),,435,"255,255,211,127"
Boreal Mixedwood - Leafless (40% Conifer),,440,"255,255,211,127"
Boreal Mixedwood - Leafless (45% Conifer),,445,"255,255,211,127"
Boreal Mixedwood - Leafless (50% Conifer),,450,"255,255,211,127"
Boreal Mixedwood - Leafless (55% Conifer),,455,"255,255,211,127"
Boreal Mixedwood - Leafless (60% Conifer),,460,"255,255,211,127"
Boreal Mixedwood - Leafless (65% Conifer),,465,"255,255,211,127"
Boreal Mixedwood - Leafless (70% Conifer),,470,"255,255,211,127"
Boreal Mixedwood - Leafless (75% Conifer),,475,"255,255,211,127"
Boreal Mixedwood - Leafless (80% Conifer),,480,"255,255,211,127"
Boreal Mixedwood - Leafless (85% Conifer),,485,"255,255,211,127"
Boreal Mixedwood - Leafless (90% Conifer),,490,"255,255,211,127"
Boreal Mixedwood - Leafless (95% Conifer),,495,"255,255,211,127"
Boreal Mixedwood (05% Conifer),,605,"255,255,211,127"
Boreal Mixedwood (10% Conifer),,610,"255,255,211,127"
Boreal Mixedwood (15% Conifer),,615,"255,255,211,127"
Boreal Mixedwood (20% Conifer),,620,"255,255,211,127"
Boreal Mixedwood (25% Conifer),,625,"255,255,211,127"
Boreal Mixedwood (30% Conifer),,630,"255,255,211,127"
Boreal Mixedwood (35% Conifer),,635,"255,255,211,127"
Boreal Mixedwood (40% Conifer),,640,"255,255,211,127"
Boreal Mixedwood (45% Conifer),,645,"255,255,211,127"
Boreal Mixedwood (50% Conifer),,650,"255,255,211,127"
Boreal Mixedwood (55% Conifer),,655,"255,255,211,127"
Boreal Mixedwood (60% Conifer),,660,"255,255,211,127"
Boreal Mixedwood (65% Conifer),,665,"255,255,211,127"
Boreal Mixedwood (70% Conifer),,670,"255,255,211,127"
Boreal Mixedwood (75% Conifer),,675,"255,255,211,127"
Boreal Mixedwood (80% Conifer),,680,"255,255,211,127"
Boreal Mixedwood (85% Conifer),,685,"255,255,211,127"
Boreal Mixedwood (90% Conifer),,690,"255,255,211,127"
Boreal Mixedwood (95% Conifer),,695,"255,255,211,127"
Boreal Spruce,,2,"128,34,102,51"
Coastal Cedar - Hemlock - Douglas-Fir Slash,,23,"252,174,1,126"
Conifer Plantation,,6,"201,172,102,237"
Dead Balsam Fir Mixedwood,,90,"255,99,0,0"
Dead Balsam Fir Mixedwood - Green,,80,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (05% Dead Fir),,805,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (10% Dead Fir),,810,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (15% Dead Fir),,815,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (20% Dead Fir),,820,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (25% Dead Fir),,825,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (30% Dead Fir),,830,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (35% Dead Fir),,835,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (40% Dead Fir),,840,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (45% Dead Fir),,845,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (50% Dead Fir),,850,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (55% Dead Fir),,855,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (60% Dead Fir),,860,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (65% Dead Fir),,865,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (70% Dead Fir),,870,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (75% Dead Fir),,875,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (80% Dead Fir),,880,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (85% Dead Fir),,885,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (90% Dead Fir),,890,"255,170,0,0"
Dead Balsam Fir Mixedwood - Green (95% Dead Fir),,895,"255,170,0,0"
Dead Balsam Fir Mixedwood - Leafless,,70,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (05% Dead Fir),,705,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (10% Dead Fir),,710,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (15% Dead Fir),,715,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (20% Dead Fir),,720,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (25% Dead Fir),,725,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (30% Dead Fir),,730,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (35% Dead Fir),,735,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (40% Dead Fir),,740,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (45% Dead Fir),,745,"255,99,0,0"
